commenter_co,commenter_movie,commenter_name,commenter_page,commenter_star,commenter_time,commenter_zan
" 感觉还不错
        ",我的爸爸是森林之王 短评,红藕香残玉簟秋,https://www.douban.com/people/127437486/,还行,"
                    2017-10-03
                ",0
" 原来果真是法国的，剧情挺简单的，看着蛮开心的
                
                ",我的爸爸是森林之王 短评,yearn,https://www.douban.com/people/45220439/,还行,"
                    2017-09-29
                ",1
" 动画喜剧是解救心情的良药。心疼反派大叔，那么努力想获得猿人基因不过是想治疗自己的秃顶。心生怜惜。
        ",我的爸爸是森林之王 短评,木由,https://www.douban.com/people/loyoyo_O/,还行,"
                    2017-08-26
                ",2
" 幼稚的好看
                
                ",我的爸爸是森林之王 短评,小女子喜欢花,https://www.douban.com/people/153850873/,还行,"
                    2017-10-03
                ",0
" 好感人
        ",我的爸爸是森林之王 短评,醉翁之意不在酒,https://www.douban.com/people/160508750/,还行,"
                    2017-10-03
                ",0
" feel a little
        ",我的爸爸是森林之王 短评,蚕丛及鱼凫,https://www.douban.com/people/160506460/,较差,"
                    2017-10-03
                ",0
" 彭于晏最新动作片
                
                ",我的爸爸是森林之王 短评,我我我我我十二,https://www.douban.com/people/95937050/,2017-10-02 21:36:21,,0
" 亚当很英雄
                
                ",我的爸爸是森林之王 短评,乔伊沫,https://www.douban.com/people/165921380/,推荐,"
                    2017-10-03
                ",0
" 近期因为没有别的什么好电影了，心情不好，就选择看了一部动画片。
剧情和细节只能说水平一般吧。
观影的整体感觉就是：快被冷气冻死了。
        ",我的爸爸是森林之王 短评,VoidMine,https://www.douban.com/people/61714678/,还行,"
                    2017-09-05
                ",0
,我的爸爸是森林之王 短评,,,,,
" 请各单位按时组织人员观看
        ",十八洞村 短评,小黄,https://www.douban.com/people/135235583/,2017-10-02 12:18:19,,12
,我的爸爸是森林之王 短评,,,,,
,我的爸爸是森林之王 短评,,,,,
,我的爸爸是森林之王 短评,,,,,
" 十九大献礼，精准扶贫
        ",十八洞村 短评,一只麦麦,https://www.douban.com/people/hexiaoqin/,2017-10-11 00:13:41,,1
" 写个拍后感吧，本人曾因社区组织去参加了群演，观看的人请注意在吉首火车站那场戏，我拼命的挤火车，推了一个吉大女孩的屁股上了火车，不要羡慕，群演一天八十，一中饭，累得我要命，还有爬阶梯上火车站的戏，一白天就两场戏，许多条！制作精细，剧组有个拿相机的妹子很正，可惜没胸！
        ",十八洞村 短评,白开水一杯,https://www.douban.com/people/156229405/,2017-10-05 18:37:52,,7
" 在路边看到了灯箱海报，也就480p吧，全都是糊的…
        ",十八洞村 短评,杨孝贤,https://www.douban.com/people/KairYoung/,2017-10-06 08:48:26,,2
" 我应该说什么
        ",十八洞村 短评,红藕香残玉簟秋,https://www.douban.com/people/127437486/,2017-10-03 16:03:04,,1
" 十九大不要让我失望
        ",十八洞村 短评,Rando,https://www.douban.com/people/sethyoung/,2017-09-29 19:03:12,,0
" 哈哈哈哈哈 哈哈哈 
        ",十八洞村 短评,猪头小丸子,https://www.douban.com/people/zzy.ll/,2017-10-10 17:42:39,,0
" 富强 民主 文明 和谐 自由 平等 公正 法治爱国 敬业
        ",十八洞村 短评,烤肉狂魔,https://www.douban.com/people/154268439/,2017-10-09 11:00:57,,0
" 各单位必须组织观看，精准扶贫
        ",十八洞村 短评,就这样了,https://www.douban.com/people/151989788/,2017-10-05 13:40:04,,1
" ？？？这不是高考政治题吗？
        ",十八洞村 短评,全力少年,https://www.douban.com/people/82208598/,2017-09-30 09:51:54,,1
" 这是曾经的高考政治题，国家扶贫典型代表😂
        ",十八洞村 短评,腿长无脑_鼎梁祝,https://www.douban.com/people/165159634/,2017-10-07 00:46:25,,0
" 看了简介，好像说是描述农村的。但我只是冲着王学圻去的。😂
        ",十八洞村 短评,柳浪,https://www.douban.com/people/166710279/,2017-10-09 12:24:36,,0
" 湘西
        ",十八洞村 短评,弱德之路,https://www.douban.com/people/137165333/,2017-10-10 01:51:10,,0
" 湘西
        ",十八洞村 短评,蝶生,https://www.douban.com/people/129906449/,2017-10-09 14:01:54,,0
" 把主旋律片拍得难看得要死，导演怕不是国外的特工吧？
        ",十八洞村 短评,蓝蓝鹿ioi,https://www.douban.com/people/167543865/,2017-10-08 20:48:03,,0
" 《不忘初心，继续前行》纪录片第二集讲到了湖南湘西十八洞村，精准扶贫就出自十八洞村。
        ",十八洞村 短评,ZGM,https://www.douban.com/people/167814949/,2017-10-08 00:30:29,,0
" 喜欢
        ",十八洞村 短评,杨灿灿,https://www.douban.com/people/167748755/,2017-10-07 22:37:10,,0
,十八洞村 短评,,,,,
,十八洞村 短评,,,,,
,十八洞村 短评,,,,,
" 这个脸有点精神污染..
        ",托马斯大电影之了不起的比赛 短评,阿噗不高兴,https://www.douban.com/people/146256272/,较差,"
                    2017-09-23
                ",44
" 和我一样有恐怖感的请点“有用”。
        ",托马斯大电影之了不起的比赛 短评,慕容七,https://www.douban.com/people/19296065/,2017-09-21 01:51:45,,36
" 因为儿子这段时间超级迷托马斯，因此下了这部电影，在无字幕，无中文配音的艰苦条件下，连续3天重复看了N遍，故事情节紧凑，音效，画面都很好。
尤其是对比现在国内的动画片，简直没法比，尤其是配乐和情节，还有画面色彩，对于孩子来说，接触此类电影可以开发思维。
        ",托马斯大电影之了不起的比赛 短评,Jane,https://www.douban.com/people/10337683/,力荐,"
                    2016-10-25
                ",28
" 成人和孩子视角不同会对片子评价大相径庭，成人嫌弃孩童欢腾。托马斯潜移默化的陪伴以及对小朋友成长阶段出现的小问题提出并矫正，赞~小朋友对新角色勇宝接受度还挺高
        ",托马斯大电影之了不起的比赛 短评,姹紫嫣红开遍。,https://www.douban.com/people/44551171/,推荐,"
                    2016-11-11
                ",11
